Country Name,Country Code,Indicator Name,Country,Unemploymentrate
Aruba,ABW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",,
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1991,4.90000009536743
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1992,4.80000019073486
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1993,4.80000019073486
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1994,4.80000019073486
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1995,4.80000019073486
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1996,4.80000019073486
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1997,4.80000019073486
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1998,4.69999980926514
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1999,4.80000019073486
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2000,4.69999980926514
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2001,4.59999990463257
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2002,4.59999990463257
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2003,4.90000009536743
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2004,4.5
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2005,8.5
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2006,8.30000019073486
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2007,8.5
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2008,8.30000019073486
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2009,8.80000019073486
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2010,8.5
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2011,8.39999961853027
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2012,8.69999980926514
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2013,8
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1991,6.90000009536743
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1992,7
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1993,7.19999980926514
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1994,6.90000009536743
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1995,6.80000019073486
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1996,6.80000019073486
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1997,6.90000009536743
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1998,7
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",1999,6.90000009536743
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2000,6.90000009536743
